question,answer
What are your working hours?,Our working hours are 9 AM to 6 PM from Monday to Friday.
How can I contact customer support?,You can contact customer support through email or phone.
What payment methods do you accept?,We accept credit cards debit cards and online payments.
How can I reset my password?,Click on the Forgot Password option on the login page and follow the instructions.
How can I create an account?,Click the Sign Up button and provide the required information.
Where can I find my order?,You can find your order details in the My Orders section.
How can I cancel my order?,You can cancel your order from the My Orders section if it has not been shipped.
How long does delivery take?,Standard delivery usually takes 3 to 7 business days.
Do you offer refunds?,Yes refunds are available according to our refund policy.
How can I track my order?,Use the tracking number provided in your order confirmation.
How do I change my account information?,You can change your account information from the account settings page.
What should I do if my payment fails?,Please check your payment details and try again. If the problem continues contact customer support.
Can I change my order after placing it?,You may change your order if it has not yet been processed or shipped.
How do I contact support?,You can contact our support team through email or phone.
What is your return policy?,Products can be returned according to the conditions specified in our return policy.
How can I check my order status?,You can check your order status in the My Orders section.
Do you provide international delivery?,International delivery availability depends on the destination and product.
How do I update my password?,You can update your password from the account settings page.
Is my personal information secure?,We take appropriate measures to protect your personal information.
How do I create a new account?,Click Sign Up and complete the registration form to create a new account.
